# Every user-facing string, captured BEFORE Phase 2C converted any of them (#658).
# Real newlines and tabs are stored as U+0001 and U+0002, because the format is line-based and 12
# strings are multi-line — and because strings.xml also holds literal backslash-n as Android escape
# text, which a backslash scheme cannot distinguish from an escaped newline.
# Everything else, including XML entities and trailing whitespace, is exactly as authored.
# Two kinds of entry live here. The original 968 are historical evidence: what the app said before
# any conversion. Entries added later are forward pins — what an aviation user should see from now
# on. The test treats them identically; only the provenance differs, and only the first kind can
# testify that a conversion changed nothing.
# Regenerating this file to make the test pass defeats its entire purpose.
module	resource	value
feature/attachment/sharedassets	invalid_url	Enter a valid URL
feature/attachment/sharedassets	link_name	Name (optional)
feature/attachment/sharedassets	link_url	URL
feature/attachment/sharedassets	max_files_reached	Maximum 3 files reached
feature/attachment/sharedassets	no_attachments	No attachments yet
feature/attachment/sharedassets	open_failed	Could not open attachment. Try again.
feature/attachment/sharedassets	remove_attachment	Remove attachment
feature/attachment/sharedassets	sign_in_to_add_attachments	Sign in to add attachments
feature/attachment/sharedassets	subtitle_separator	 · 
feature/attachment/sharedassets	take_photo	Take photo
feature/export/sharedassets	export_all_time	All time
feature/export/sharedassets	export_back_to_setup	Back to setup
feature/export/sharedassets	export_clear_all	Clear all
feature/export/sharedassets	export_custom	Custom
feature/export/sharedassets	export_custom_end_date	End date
feature/export/sharedassets	export_custom_range_title	Custom range
feature/export/sharedassets	export_custom_start_date	Start date
feature/export/sharedassets	export_date_range_section	Date range
feature/export/sharedassets	export_download	Download
feature/export/sharedassets	export_download_failed	Couldn’t download the export
feature/export/sharedassets	export_download_success	Saved to your device
feature/export/sharedassets	export_email_sent_action	Emailed
feature/export/sharedassets	export_error_details	If this keeps happening, contact support@fanfly.dev so we can look into it.
feature/export/sharedassets	export_error_subtitle	Something went wrong while building the ZIP. Try again in a moment.
feature/export/sharedassets	export_error_title	Export failed
feature/export/sharedassets	export_estimated_size	~%1$s
feature/export/sharedassets	export_footer_thing_count	%1$d aircraft
feature/export/sharedassets	export_format_csv_sub	Plain text
feature/export/sharedassets	export_format_pdf_sub	Print-ready
feature/export/sharedassets	export_format_pick_one	Pick at least one format
feature/export/sharedassets	export_format_xlsx_sub	Spreadsheet
feature/export/sharedassets	export_formats_section	Report formats
feature/export/sharedassets	export_history_action	Export history
feature/export/sharedassets	export_history_delete_confirm_body	%1$s will be permanently removed from this device.
feature/export/sharedassets	export_history_delete_confirm_body_cloud_only	%1$s will be permanently removed from cloud.
feature/export/sharedassets	export_history_delete_confirm_body_device_and_cloud	%1$s will be permanently removed from this device and cloud.
feature/export/sharedassets	export_history_delete_confirm_title	Delete export?
feature/export/sharedassets	export_history_delivery_failed	Failed to send email
feature/export/sharedassets	export_history_delivery_in_progress	Email is already being sent
feature/export/sharedassets	export_history_delivery_sent	Email sent
feature/export/sharedassets	export_history_delivery_throttled	Already sent recently — try again later
feature/export/sharedassets	export_history_empty_body	Generate a printable PDF or spreadsheet of your maintenance logs to share with your mechanic, IA, or insurance.
feature/export/sharedassets	export_history_empty_title	No exports yet
feature/export/sharedassets	export_history_item_meta	%1$s · %2$s
feature/export/sharedassets	export_history_menu_delete	Delete export
feature/export/sharedassets	export_history_menu_download	Download
feature/export/sharedassets	export_history_menu_resend	Resend email
feature/export/sharedassets	export_history_menu_save	Save to device
feature/export/sharedassets	export_history_more_actions	More actions
feature/export/sharedassets	export_history_new	New export
feature/export/sharedassets	export_history_status_cloud	In the cloud
feature/export/sharedassets	export_history_status_device	On device
feature/export/sharedassets	export_history_title	Export history
feature/export/sharedassets	export_last_12_months	Last 12 months
feature/export/sharedassets	export_last_n_months	Last %1$d months
feature/export/sharedassets	export_location_downloads_squawkit	Saved to Downloads · SquawkIt
feature/export/sharedassets	export_location_files_squawkit	Saved to Files · SquawkIt
feature/export/sharedassets	export_no_thing_title	No aircraft to export
feature/export/sharedassets	export_primary_action	Start
feature/export/sharedassets	export_progress_building_archive	Generating reports...
feature/export/sharedassets	export_progress_collecting_data	Collecting aircraft data...
feature/export/sharedassets	export_progress_compressing_archive	Compressing files...
feature/export/sharedassets	export_progress_saving_file	Saving export...
feature/export/sharedassets	export_progress_uploading_archive	Syncing to the cloud...
feature/export/sharedassets	export_receipt_attachments	Attachments
feature/export/sharedassets	export_receipt_attachments_included	Included
feature/export/sharedassets	export_receipt_file_subtitle	%1$s · ZIP containing %2$s + attachments
feature/export/sharedassets	export_receipt_range	Range
feature/export/sharedassets	export_running_stage_counter	%1$d / %2$d
feature/export/sharedassets	export_running_title	Preparing export
feature/export/sharedassets	export_select_all	Select all
feature/export/sharedassets	export_send_to_email_action	Email it to me
feature/export/sharedassets	export_stub_preview_file_name	SquawkIt_Logs_preview.zip
feature/export/sharedassets	export_stub_preview_location	Saved to this device
feature/export/sharedassets	export_success_delivery_auth	Destination: signed-in account email %1$s
feature/export/sharedassets	export_success_delivery_failed	Delivery failed. Use Download for now, then try emailing it again.
feature/export/sharedassets	export_success_delivery_failed_title	Delivery failed
feature/export/sharedassets	export_success_title	Export ready
feature/export/sharedassets	export_thing_details_incomplete	Aircraft details incomplete
feature/export/sharedassets	export_thing_summary_more	%1$s + %2$d more
feature/export/sharedassets	export_untitled_thing	Untitled aircraft
feature/export/sharedassets	export_view_exports	View exports
feature/export/sharedassets	feature_name_export_logs	Export Logs
feature/fleet/sharedassets	add_first_thing	Add Your First Aircraft
feature/fleet/sharedassets	have_invite_code	Have an invite code?
feature/fleet/sharedassets	no_fleet_description	Keep your aircraft details, maintenance logs, and compliance records in one place.
feature/fleet/sharedassets	no_fleet_title	Ready for Takeoff?
feature/login	account_upgrade_error	Couldn't complete sync. Please try again.
feature/login	account_upgrade_success	Syncing complete
feature/login	account_upgrade_working	Syncing your records…
feature/login	apple_logo	Apple Logo
feature/login	continue_without_account	Continue Anonymously
feature/login	email_entry_hint	you@example.com
feature/login	email_entry_title	Log in with email
feature/login	email_finish_body	Confirm the email this link was sent to.
feature/login	email_finish_title	Finish signing in
feature/login	email_invalid	Enter a valid email address.
feature/login	email_link_error	That link didn't work. Request a new one.
feature/login	email_link_sent_body	We sent a sign-in link to %1$s. Open it on this device to finish logging in.
feature/login	email_link_sent_title	Check your inbox
feature/login	email_resend	Resend link
feature/login	email_resend_in	Resend in %1$s
feature/login	email_send_link	Send sign-in link
feature/login	email_use_different	Use a different email
feature/login	google_logo	Google Logo
feature/login	legal_disclaimer	SquawkIt is a personal convenience tool and is not a certified maintenance record system. It does not replace the official aircraft logbooks required by your aviation authority.
feature/login	login_prompt	Log in or continue anonymously to manage your aircraft maintenance records.
feature/login	mission_statement	Track the important stuff for your airplane
feature/login	onboarding_ads_consent_body	Ads cover the servers, so SquawkIt stays free. Next, choose how they can use your data.
feature/login	onboarding_ads_consent_eyebrow	Keeping the lights on
feature/login	onboarding_ads_consent_headline	A few small ads 📣
feature/login	onboarding_ads_consent_pro_note	Go ad-free anytime with SquawkIt Pro.
feature/login	onboarding_name_body	Just so we know who's logging any maintenance work. You can change it anytime in Settings.
feature/login	onboarding_name_eyebrow	QUICK HELLO
feature/login	onboarding_name_headline	What should we\ncall you?
feature/login	onboarding_name_hint	e.g. Amelia Earhart
feature/login	onboarding_name_label	YOUR NAME
feature/login	onboarding_notifications_body	Hear about changes on aircraft shared with you, and when something goes overdue.
feature/login	onboarding_notifications_denied_action	Open settings
feature/login	onboarding_notifications_denied_body	You won’t hear about changes on shared aircraft or overdue alerts. Enable notifications in system settings to stay in the loop.
feature/login	onboarding_notifications_denied_eyebrow	Notifications are off
feature/login	onboarding_notifications_denied_headline	Turn them back on
feature/login	onboarding_notifications_eyebrow	Stay in the loop
feature/login	onboarding_notifications_headline	Know when it matters
feature/login	onboarding_welcome_aboard	Welcome aboard
feature/login	onboarding_welcome_tagline	Let's get your hangar set up.
feature/login	privacy_notice	Privacy Notice
feature/login	sign_in_anonymous_error	Could not continue anonymously. Please try again.
feature/login	sign_in_error	Sign-in failed. Check your connection and try again.
feature/login	sign_in_with_apple	Log in with Apple
feature/login	sign_in_with_email	Log in with email
feature/login	sign_in_with_google	Log in with Google
feature/login	upgrade_confirm_link_body	Your records on this device will be connected to %1$s and backed up. If that isn't your address, cancel and start again.
feature/login	upgrade_confirm_link_confirm	Connect
feature/login	upgrade_confirm_link_title	Connect this account?
feature/login	upgrade_email_body	We'll email you a link. Open it on this device to finish connecting your account.
feature/login	upgrade_email_invalid	Enter a valid email address
feature/login	upgrade_email_label	Email address
feature/login	upgrade_email_send	Send link
feature/login	upgrade_email_send_failed	Couldn't send the link. Please try again.
feature/login	upgrade_email_title	Continue with email
feature/login	upgrade_link_sent_body	We sent a link to %1$s. Open it on this device and we'll ask you to confirm before connecting your records.
feature/login	upgrade_link_sent_title	Check your email
feature/login	upgrade_merge_body	Continuing moves the aircraft, logs, and records on this device into that account, alongside what it already has. Nothing is deleted.
feature/login	upgrade_merge_confirm	Merge my records
feature/login	upgrade_merge_reauth	You'll be asked to confirm with %1$s once more — that second prompt is what signs you in to the existing account.
feature/login	upgrade_merge_title	That %1$s already has an account
feature/login	upgrade_picker_body	Connect an account so your aircraft, logs, and records are backed up and available on your other devices.
feature/login	upgrade_picker_title	Keep your records
feature/login	upgrade_provider_apple	Apple ID
feature/login	upgrade_provider_email	email address
feature/login	upgrade_provider_google	Google account
feature/logs/sharedassets	add_first_maintenance_log	Log First Entry
feature/logs/sharedassets	add_log	Add Work Log
feature/logs/sharedassets	airframe_time_label	Airframe Time
feature/logs/sharedassets	blade	Blade
feature/logs/sharedassets	blade_with_index	Blade %1$d
feature/logs/sharedassets	edit_log	Update Work Log
feature/logs/sharedassets	engine_time_label	Engine Time
feature/logs/sharedassets	engine_with_index	Engine %1$d
feature/logs/sharedassets	log_assigned_by	Logged by %1$s
feature/logs/sharedassets	log_assigned_by_unknown	Logged by another member
feature/logs/sharedassets	log_unverified_technician	Not verified — name entered manually
feature/logs/sharedassets	maintenance_date	Work Date
feature/logs/sharedassets	maintenance_history	Maintenance History
feature/logs/sharedassets	no_maintenance_logs_description	Log your first entry — oil change, annual, 100-hour, or any other airframe, engine, or prop work.
feature/logs/sharedassets	no_maintenance_logs_title	Logbook Is Empty
feature/logs/sharedassets	prop_time_label	Prop Time
feature/logs/sharedassets	propeller_hub	Propeller Hub
feature/logs/sharedassets	resolve_squawk_work_description	Resolve squawk "%1$s"
feature/logs/sharedassets	resolve_task_work_description	Performed maintenance task "%1$s"
feature/logs/sharedassets	this_action_cannot_be_undone	This action cannot be undone.
feature/logs/update	airframe_serial	Airframe Serial
feature/logs/update	airframe_time_hours	Airframe Time (hours)
feature/logs/update	component_section_description	Which part of the aircraft was serviced
feature/logs/update	date_section_description	When this work was performed
feature/logs/update	delete_log	Delete Log?
feature/logs/update	engine_time_hours	Engine Time (hours)
feature/logs/update	hours_section_description	Fill the fields that apply to this work event
feature/logs/update	loading_thing	Loading aircraft…
feature/logs/update	log_deleted	Log deleted
feature/logs/update	log_not_found	Log not found
feature/logs/update	log_saved	Log saved
feature/logs/update	log_tab_hours	Hours
feature/logs/update	log_tab_records	Records
feature/logs/update	log_tab_work	Work
feature/logs/update	log_updated	Log updated
feature/logs/update	make_model_serial	%1$s (%2$s)
feature/logs/update	no_engines_found	No engines found for this aircraft.
feature/logs/update	no_propeller_components_found	No propeller components found for this aircraft.
feature/logs/update	performed_by_description	The technician who performed this work
feature/logs/update	prop_time_hours	Prop Time (hours)
feature/logs/update	propeller_component	Propeller Component
feature/logs/update	squawks_section_header	Squawks Addressed
feature/logs/update	tap_to_change_date	Tap to change date
feature/logs/update	tasks_section_header	Maintenance Tasks Completed
feature/logs/update	type_make_model_serial	%1$s - %2$s (%3$s)
feature/logs/update	work_description_required	Work Description *
feature/logs/viewing	affected_maintenance_tasks	Affected Maintenance Tasks
feature/logs/viewing	clear_filter	Clear Filter
feature/logs/viewing	collapse_details	Collapse details
feature/logs/viewing	edit_thing	Update aircraft
feature/logs/viewing	expand_details	Expand details
feature/logs/viewing	failed_to_load_logs	Could not load maintenance logs
feature/logs/viewing	filter_by_type	Filter by Type
feature/logs/viewing	hours_abbr_value	%1$s hrs
feature/logs/viewing	log_count_n_entries	%1$d Entries
feature/logs/viewing	log_count_one_entry	1 Entry
feature/logs/viewing	log_onboarding_description	Log your current airframe, engine, and prop times to start tracking maintenance intervals accurately. This will serve as your logbook's baseline.
feature/logs/viewing	log_squawk_count_one	1 squawk
feature/logs/viewing	log_squawk_count_plural	%1$d squawks
feature/logs/viewing	log_task_count_one	1 task
feature/logs/viewing	log_task_count_plural	%1$d tasks
feature/logs/viewing	maintenance_summary	Maintenance Summary
feature/logs/viewing	no_logs_match_filter	No logs match your filter.
feature/logs/viewing	no_tasks_linked	No tasks linked to this entry
feature/logs/viewing	resolved_squawks	Resolved Squawks
feature/logs/viewing	s_n_empty	No S/N
feature/logs/viewing	s_n_placeholder	S/N: %1$s
feature/logs/viewing	search_logs	Search logs…
feature/logs/viewing	thing_data	Aircraft Data
feature/logs/viewing	total_logs	Total Logs
feature/logs/viewing	unknown_squawk	Unknown squawk (%1$s)
feature/notifications/devoptions	notifications_devoptions_diagnostics_at	Last scan: %1$s
feature/notifications/devoptions	notifications_devoptions_diagnostics_counts	%1$d records examined · %2$d crossings · %3$d suppressed by preferences · %4$d posted
feature/notifications/devoptions	notifications_devoptions_diagnostics_never	No scan has completed on this device
feature/notifications/devoptions	notifications_devoptions_diagnostics_title	Scan diagnostics
feature/notifications/devoptions	notifications_devoptions_diagnostics_trigger	Trigger: %1$s
feature/notifications/devoptions	notifications_devoptions_header	Notifications
feature/notifications/devoptions	notifications_devoptions_open_settings_action	Open settings
feature/notifications/devoptions	notifications_devoptions_permission_title	OS permission
feature/notifications/devoptions	notifications_devoptions_request_action	Request permission
feature/notifications/devoptions	notifications_devoptions_reset_watermarks_action	Reset
feature/notifications/devoptions	notifications_devoptions_reset_watermarks_done	Cleared. Next scan re-seeds.
feature/notifications/devoptions	notifications_devoptions_reset_watermarks_hint	Re-arms every crossing. The next scan re-seeds silently — change a record, then scan again to see a notification.
feature/notifications/devoptions	notifications_devoptions_reset_watermarks_no_user	No signed-in user
feature/notifications/devoptions	notifications_devoptions_reset_watermarks_title	Reset urgency watermarks
feature/notifications/devoptions	notifications_devoptions_scan_never_run	Not run yet
feature/notifications/devoptions	notifications_devoptions_scan_now_action	Scan now
feature/notifications/devoptions	notifications_devoptions_scan_now_title	Urgency scan
feature/notifications/devoptions	notifications_devoptions_scan_result_completed	Done — %1$d notification(s) posted
feature/notifications/devoptions	notifications_devoptions_scan_result_debounced	Skipped — scanned within the last 2 hours
feature/notifications/devoptions	notifications_devoptions_scan_result_disabled	Skipped — All notifications is off
feature/notifications/devoptions	notifications_devoptions_scan_result_no_permission	Skipped — OS permission not granted
feature/notifications/devoptions	notifications_devoptions_scan_result_no_user	No signed-in user
feature/notifications/devoptions	notifications_devoptions_scan_result_prefs_unresolved	Preferences not resolved yet
feature/notifications/devoptions	notifications_devoptions_state_denied	Denied — fix in system settings
feature/notifications/devoptions	notifications_devoptions_state_granted	Granted
feature/notifications/devoptions	notifications_devoptions_state_undetermined	Not yet asked
feature/notifications/devoptions	notifications_devoptions_state_unsupported	Unsupported on this browser
feature/notifications/settings	notification_settings_all_subtitle_off	Off — every notification below is silenced
feature/notifications/settings	notification_settings_all_subtitle_on	On
feature/notifications/settings	notification_settings_all_title	All notifications
feature/notifications/settings	notification_settings_banner_denied_body	Turn them on in system settings to hear about urgency alerts and collaboration on your aircraft.
feature/notifications/settings	notification_settings_banner_denied_open_settings	Open settings
feature/notifications/settings	notification_settings_banner_denied_title	Notifications are blocked
feature/notifications/settings	notification_settings_banner_unsupported_body	This browser doesn’t support notifications. Your choices below are still saved for devices that do.
feature/notifications/settings	notification_settings_banner_unsupported_title	Not supported in this browser
feature/notifications/settings	notification_settings_collaboration_subtitle	Aircraft, squawk, task, or logbook activity from others
feature/notifications/settings	notification_settings_collaboration_title	Collaboration
feature/notifications/settings	notification_settings_hero_body_off	Turn on All notifications to hear about priority changes, due dates, and updates from your crew.
feature/notifications/settings	notification_settings_hero_body_on	Hear about priority changes, due dates, and updates from your crew — the moment they happen.
feature/notifications/settings	notification_settings_hero_title_off	Notifications are off
feature/notifications/settings	notification_settings_hero_title_on	Stay in the loop
feature/notifications/settings	notification_settings_priority_due_subtitle	A squawk becomes high priority or worse, or a task becomes due soon or overdue
feature/notifications/settings	notification_settings_priority_due_title	Priority &amp; due updates
feature/notifications/settings	notification_settings_save_error	Couldn’t save that change. Try again.
feature/notifications/settings	notification_settings_signin_cta	Sign in
feature/notifications/settings	notification_settings_signin_footer	Sign in to get notified about changes other people make.
feature/notifications/settings	notification_settings_sync_off_cta	Turn on sync
feature/notifications/settings	notification_settings_sync_off_footer	Turn on Backup &amp; Sync to get notified about changes other people make.
feature/notifications/settings	notification_settings_title	Notifications
feature/notifications/settings	notification_settings_types_label	Notification types
feature/notifications/sharedassets	notification_body_due_soon_plural	%1$s: %2$d inspections are due soon
feature/notifications/sharedassets	notification_body_due_soon_single	%1$s: task is due soon\n\n%2$s
feature/notifications/sharedassets	notification_body_overdue_plural	%1$s: %2$d inspections are now overdue
feature/notifications/sharedassets	notification_body_overdue_single	%1$s: task is now overdue\n\n%2$s
feature/notifications/sharedassets	notification_body_priority_raised_plural	%1$s: %2$d squawks increased in priority
feature/notifications/sharedassets	notification_body_priority_raised_single	%1$s: priority raised from %2$s to %3$s\n\n%4$s
feature/notifications/sharedassets	notification_n1_actor_fallback	A collaborator
feature/notifications/sharedassets	notification_n1_body_record_created	%1$s: %2$s created a new %3$s\n\n%4$s
feature/notifications/sharedassets	notification_n1_body_record_deleted	%1$s: %2$s deleted a %3$s\n\n%4$s
feature/notifications/sharedassets	notification_n1_body_record_updated	%1$s: %2$s updated a %3$s\n\n%4$s
feature/notifications/sharedassets	notification_n1_body_single	%1$s made a change to %2$s
feature/notifications/sharedassets	notification_n1_body_squawk_created	%1$s: %2$s created a new squawk issue\n\n%3$s
feature/notifications/sharedassets	notification_n1_body_squawk_raised	%1$s: %2$s raised the priority of 1 squawk issue\n\n%3$s
feature/notifications/sharedassets	notification_n1_body_thing_updated	%1$s: %2$s updated the aircraft
feature/notifications/sharedassets	notification_n1_noun_log	work log
feature/notifications/sharedassets	notification_n1_noun_task	maintenance task
feature/notifications/sharedassets	notification_n1_section_logbook	Work Logs
feature/notifications/sharedassets	notification_n1_section_logbook_lower	work logs
feature/notifications/sharedassets	notification_n1_section_squawks	Squawks
feature/notifications/sharedassets	notification_n1_section_squawks_lower	squawks
feature/notifications/sharedassets	notification_n1_section_tasks	Maintenance Tasks
feature/notifications/sharedassets	notification_n1_section_tasks_lower	maintenance tasks
feature/notifications/sharedassets	notification_n1_title	%1$s · %2$s
feature/notifications/sharedassets	notification_n1_title_squawk_created	New squawk
feature/notifications/sharedassets	notification_title_due_soon	Due soon
feature/notifications/sharedassets	notification_title_overdue	⚠ Overdue
feature/notifications/sharedassets	notification_title_priority_raised	Priority raised
feature/notifications/sharedassets	squawk_priority_label_down	AOG
feature/notifications/sharedassets	squawk_priority_label_high	High
feature/notifications/sharedassets	squawk_priority_label_low	Low
feature/notifications/sharedassets	squawk_priority_label_medium	Medium
feature/notifications/sharedassets	squawk_priority_label_resolved	Resolved
feature/notifications/viewing	notification_channel_collaboration_description	Someone changes something you share
feature/notifications/viewing	notification_channel_collaboration_name	Collaboration
feature/notifications/viewing	notification_channel_urgency_update_description	A task’s urgency or due status has changed
feature/notifications/viewing	notification_channel_urgency_update_name	Due reminder
feature/settings	account_upgrade_link_cta	Link to an account
feature/settings	account_upgrade_link_subtitle	Your records are on this device only. Link an account to sync and back them up.
feature/settings	app_version	App Version: %1$s
feature/settings	appearance_dark	Dark
feature/settings	appearance_light	Light
feature/settings	appearance_subtitle	Choose how SquawkIt looks on this device
feature/settings	appearance_system	System
feature/settings	appearance_title	Appearance
feature/settings	developer_options	Developer Options
feature/settings	developer_options_consent_test_device_placeholder	Paste hash from the console
feature/settings	developer_options_consent_test_device_subtitle	Required on a physical device (either platform) for the EEA debug-geography override to show the consent form at all — simulators/emulators don’t need this. Run once with this blank, then check the console for a message giving this device’s hash — Logcat tag "Ump" on Android, or search the Xcode console for "UMPDebugSettings.testDeviceIdentifiers" on iOS — and paste it here.
feature/settings	developer_options_consent_test_device_title	UMP test device hash
feature/settings	developer_options_force_ads_subtitle	Show display ads on any account, ignoring the tier. Everything else behaves normally, including the limit of 5 ads per session.
feature/settings	developer_options_force_ads_title	Force ads
feature/settings	developer_options_force_free	Basic
feature/settings	developer_options_force_off	Off
feature/settings	developer_options_force_pro	Pro
feature/settings	developer_options_force_subscription_subtitle	Make this account behave as the chosen tier, ignoring the real entitlement.
feature/settings	developer_options_force_subscription_title	Force subscription status
feature/settings	developer_options_reset_ad_consent_action	Reset
feature/settings	developer_options_reset_ad_consent_subtitle	Wipes this device's cached UMP consent state, so it resolves fresh next launch — as if this were a first install. The only way to re-test the onboarding consent explainer without clearing all local app data.
feature/settings	developer_options_reset_ad_consent_title	Reset ad consent
feature/settings	developer_options_subtitle	Advanced controls. Changes sync across your devices.
feature/settings	firebase_logging_subtitle	Share anonymous diagnostics and usage data to help us improve SquawkIt
feature/settings	firebase_logging_title	Help Us Improve
feature/settings	settings_ad_privacy	Ad privacy settings
feature/settings	settings_ad_privacy_subtitle	Review or change your ad consent choice
feature/settings	settings_delete_account	Delete Account
feature/settings	settings_delete_account_body	This permanently deletes your account and all of your data. Anyone you have shared an aircraft with will lose access to it. This cannot be undone.
feature/settings	settings_delete_account_challenge_email	To confirm, type your email address below:
feature/settings	settings_delete_account_challenge_hint	Type to confirm
feature/settings	settings_delete_account_challenge_mismatch	That does not match yet.
feature/settings	settings_delete_account_challenge_phrase	To confirm, type this below:
feature/settings	settings_delete_account_challenge_word	delete account
feature/settings	settings_delete_account_confirm	Delete my account
feature/settings	settings_delete_account_export_hint	Export your logbook first if you want to keep a copy.
feature/settings	settings_delete_account_failed	Your account could not be deleted. Nothing has been removed — please try again.
feature/settings	settings_delete_account_subtitle	Permanently delete your account and all its records
feature/settings	settings_delete_account_title	Delete your account?
feature/settings	settings_developer_options_subtitle	Advanced controls, synced across your devices
feature/settings	settings_export_subtitle	Export and share your logbook
feature/settings	settings_logout_subtitle	Sign out of your account on this device
feature/settings	settings_notifications	Notifications
feature/settings	settings_notifications_subtitle_blocked	Blocked in system settings
feature/settings	settings_notifications_subtitle_default	Collaboration and urgency alerts
feature/settings	settings_notifications_subtitle_off	Off — turn on to hear about changes
feature/settings	settings_subscription	Subscription
feature/settings	settings_subscription_subtitle	Your plan, benefits, and storage
feature/settings	settings_subtitle	Account, appearance &amp; preferences
feature/settings	settings_sync_subtitle	Keep your records synced across devices
feature/settings	settings_technicians_subtitle	People you can name when recording work
feature/settings	sign_out	Log out
feature/sharing/sharedassets	enter_code_field_label	Invite code
feature/sharing/sharedassets	enter_code_instructions	Enter the invite code the aircraft owner gave you. It looks like EFA2-GGTH.
feature/sharing/sharedassets	enter_code_title	Join a shared aircraft
feature/sharing/sharedassets	invite_cancel	Cancel this code
feature/sharing/sharedassets	invite_code_hint	Read it out, or have them type it into Join aircraft.
feature/sharing/sharedassets	invite_copy	Copy link
feature/sharing/sharedassets	invite_link_unavailable	This code was created on another device. Codes are never stored, so it cannot be shown again — cancel it and create a new one.
feature/sharing/sharedassets	invite_qr_desc	Invite QR code
feature/sharing/sharedassets	invite_role_label	Role
feature/sharing/sharedassets	invite_role_owner	Co-owner
feature/sharing/sharedassets	invite_scan_hint	Or have them scan this.
feature/sharing/sharedassets	invite_share	Share link
feature/sharing/sharedassets	invite_title	Invite to aircraft
feature/sharing/sharedassets	leave_confirm_action	Leave
feature/sharing/sharedassets	leave_confirm_body	It is removed from your fleet and its records are deleted from your devices. Any changes you made offline that have not synced yet are lost.The owner can invite you again.
