bucket	module	resource	slots	reason	value
NEUTRAL	core/sharedassets	required		no domain vocabulary	Required
NEUTRAL	core/sharedassets	retry		no domain vocabulary	Try Again
NEUTRAL	core/sharedassets	save		no domain vocabulary	Save
NEUTRAL	core/sharedassets	save_changes		no domain vocabulary	Save Changes
NEUTRAL	core/sharedassets	save_failed		no domain vocabulary	Save failed
NEUTRAL	core/sharedassets	select_date		no domain vocabulary	Select Date
NEUTRAL	core/sharedassets	settings		no domain vocabulary	Settings
NEUTRAL	core/sharedassets	shell_nav_tasks_narrow		no domain vocabulary	Maint. Tasks
NEUTRAL	core/sharedassets	shell_tab_dashboard		no domain vocabulary	Dashboard
NEUTRAL	core/sharedassets	shell_tab_logs		no domain vocabulary	Logs
NEUTRAL	core/sharedassets	shell_tab_tasks		no domain vocabulary	Maint.
NEUTRAL	core/sharedassets	sync_changes_discarded		no domain vocabulary	Unsaved changes to %1$s were discarded — your access was removed
NEUTRAL	core/sharedassets	unit_hours		no domain vocabulary	hrs
NEUTRAL	core/sharedassets	unknown		no domain vocabulary	Unknown
NEUTRAL	core/sharedassets	unsaved_changes		no domain vocabulary	Unsaved Changes
NEUTRAL	core/sharedassets	unsaved_changes_message		no domain vocabulary	You have unsaved changes. Are you sure you want to leave?
NEUTRAL	feature/ads/sharedassets	ads_a11y_advertisement		no domain vocabulary	Advertisement
NEUTRAL	feature/ads/sharedassets	ads_sponsored_label		no domain vocabulary	Sponsored
NEUTRAL	feature/attachment/sharedassets	add_file_failed		no domain vocabulary	Failed to add file
NEUTRAL	feature/attachment/sharedassets	add_link		no domain vocabulary	Add link
NEUTRAL	feature/attachment/sharedassets	attachment_limits_hint		no domain vocabulary	Up to 3 files · Max 5 MB each
NEUTRAL	feature/attachment/sharedassets	attachment_type_file		no domain vocabulary	File
NEUTRAL	feature/attachment/sharedassets	attachment_type_image		no domain vocabulary	Image
NEUTRAL	feature/attachment/sharedassets	attachment_type_link		no domain vocabulary	Link
NEUTRAL	feature/attachment/sharedassets	attachment_type_pdf		no domain vocabulary	PDF
NEUTRAL	feature/attachment/sharedassets	attachment_type_text		no domain vocabulary	Text
NEUTRAL	feature/attachment/sharedassets	attachments		no domain vocabulary	Attachments
NEUTRAL	feature/attachment/sharedassets	choose_file		no domain vocabulary	Choose file
NEUTRAL	feature/attachment/sharedassets	delete_saved_attachment_message		no domain vocabulary	The file will be permanently deleted when you save.
NEUTRAL	feature/attachment/sharedassets	delete_saved_attachment_title		no domain vocabulary	Remove file?
NEUTRAL	feature/attachment/sharedassets	duplicate_file_skipped		no domain vocabulary	Already attached — duplicate files were skipped
NEUTRAL	feature/attachment/sharedassets	file_added		no domain vocabulary	File added
NEUTRAL	feature/attachment/sharedassets	file_read_error		no domain vocabulary	Could not read selected file
NEUTRAL	feature/attachment/sharedassets	file_too_large		no domain vocabulary	File exceeds 5 MB limit
NEUTRAL	feature/attachment/sharedassets	file_upload_coming_soon		no domain vocabulary	Subscribe to SquawkIt Pro to attach photos &amp; files
NEUTRAL	feature/attachment/sharedassets	files_over_limit_skipped		no domain vocabulary	Only 3 files can be attached — the extra files were not added
NEUTRAL	feature/attachment/sharedassets	invalid_url		no domain vocabulary	Enter a valid URL
NEUTRAL	feature/attachment/sharedassets	link_added		no domain vocabulary	Link added
NEUTRAL	feature/attachment/sharedassets	link_name		no domain vocabulary	Name (optional)
NEUTRAL	feature/attachment/sharedassets	link_url		no domain vocabulary	URL
NEUTRAL	feature/attachment/sharedassets	max_files_reached		no domain vocabulary	Maximum 3 files reached
NEUTRAL	feature/attachment/sharedassets	no_attachments		no domain vocabulary	No attachments yet
NEUTRAL	feature/attachment/sharedassets	open_failed		no domain vocabulary	Could not open attachment. Try again.
NEUTRAL	feature/attachment/sharedassets	opening_attachment		no domain vocabulary	Opening…
NEUTRAL	feature/attachment/sharedassets	remove_attachment		no domain vocabulary	Remove attachment
NEUTRAL	feature/attachment/sharedassets	retry_upload		no domain vocabulary	Retry upload
NEUTRAL	feature/attachment/sharedassets	sign_in_to_add_attachments		no domain vocabulary	Sign in to add attachments
NEUTRAL	feature/attachment/sharedassets	subtitle_separator		no domain vocabulary	·
NEUTRAL	feature/attachment/sharedassets	take_photo		no domain vocabulary	Take photo
NEUTRAL	feature/attachment/sharedassets	upload_failed		no domain vocabulary	Upload failed
NEUTRAL	feature/attachment/sharedassets	upload_network_error		no domain vocabulary	Upload failed. Check your connection.
NEUTRAL	feature/attachment/sharedassets	upload_permission_error		no domain vocabulary	Upload failed: permission denied
NEUTRAL	feature/export/sharedassets	export_all_time		no domain vocabulary	All time
NEUTRAL	feature/export/sharedassets	export_back_to_setup		no domain vocabulary	Back to setup
NEUTRAL	feature/export/sharedassets	export_clear_all		no domain vocabulary	Clear all
NEUTRAL	feature/export/sharedassets	export_custom		no domain vocabulary	Custom
NEUTRAL	feature/export/sharedassets	export_custom_end_date		no domain vocabulary	End date
NEUTRAL	feature/export/sharedassets	export_custom_range_title		no domain vocabulary	Custom range
NEUTRAL	feature/export/sharedassets	export_custom_start_date		no domain vocabulary	Start date
NEUTRAL	feature/export/sharedassets	export_date_range_section		no domain vocabulary	Date range
NEUTRAL	feature/export/sharedassets	export_delivery_note		no domain vocabulary	Your export will be sent to %1$s.
NEUTRAL	feature/export/sharedassets	export_delivery_title		no domain vocabulary	Export delivery email
NEUTRAL	feature/export/sharedassets	export_download		no domain vocabulary	Download
NEUTRAL	feature/export/sharedassets	export_download_failed		no domain vocabulary	Couldn’t download the export
NEUTRAL	feature/export/sharedassets	export_download_success		no domain vocabulary	Saved to your device
NEUTRAL	feature/export/sharedassets	export_email_sent_action		no domain vocabulary	Emailed
NEUTRAL	feature/export/sharedassets	export_error_details		no domain vocabulary	If this keeps happening, contact support@fanfly.dev so we can look into it.
NEUTRAL	feature/export/sharedassets	export_error_subtitle		no domain vocabulary	Something went wrong while building the ZIP. Try again in a moment.
NEUTRAL	feature/export/sharedassets	export_error_title		no domain vocabulary	Export failed
NEUTRAL	feature/export/sharedassets	export_estimated_size		no domain vocabulary	~%1$s
NEUTRAL	feature/export/sharedassets	export_format_csv_sub		no domain vocabulary	Plain text
NEUTRAL	feature/export/sharedassets	export_format_pdf_sub		no domain vocabulary	Print-ready
NEUTRAL	feature/export/sharedassets	export_format_pick_one		no domain vocabulary	Pick at least one format
NEUTRAL	feature/export/sharedassets	export_format_xlsx_sub		no domain vocabulary	Spreadsheet
NEUTRAL	feature/export/sharedassets	export_formats_helper		no domain vocabulary	%1$s bundled in a ZIP with your attached files.
NEUTRAL	feature/export/sharedassets	export_formats_section		no domain vocabulary	Report formats
NEUTRAL	feature/export/sharedassets	export_history_action		no domain vocabulary	Export history
NEUTRAL	feature/export/sharedassets	export_history_delete_confirm_body		no domain vocabulary	%1$s will be permanently removed from this device.
NEUTRAL	feature/export/sharedassets	export_history_delete_confirm_body_cloud_only		no domain vocabulary	%1$s will be permanently removed from cloud.
NEUTRAL	feature/export/sharedassets	export_history_delete_confirm_body_device_and_cloud		no domain vocabulary	%1$s will be permanently removed from this device and cloud.
NEUTRAL	feature/export/sharedassets	export_history_delete_confirm_title		no domain vocabulary	Delete export?
NEUTRAL	feature/export/sharedassets	export_history_delivery_failed		no domain vocabulary	Failed to send email
NEUTRAL	feature/export/sharedassets	export_history_delivery_in_progress		no domain vocabulary	Email is already being sent
NEUTRAL	feature/export/sharedassets	export_history_delivery_manual		no domain vocabulary	Manual share only
NEUTRAL	feature/export/sharedassets	export_history_delivery_queued		no domain vocabulary	Email requested
NEUTRAL	feature/export/sharedassets	export_history_delivery_retry		no domain vocabulary	Retry email delivery
NEUTRAL	feature/export/sharedassets	export_history_delivery_sending		no domain vocabulary	Sending email
NEUTRAL	feature/export/sharedassets	export_history_delivery_sent		no domain vocabulary	Email sent
NEUTRAL	feature/export/sharedassets	export_history_delivery_throttled		no domain vocabulary	Already sent recently — try again later
NEUTRAL	feature/export/sharedassets	export_history_empty_title		no domain vocabulary	No exports yet
NEUTRAL	feature/export/sharedassets	export_history_item_meta		no domain vocabulary	%1$s · %2$s
NEUTRAL	feature/export/sharedassets	export_history_menu_delete		no domain vocabulary	Delete export
NEUTRAL	feature/export/sharedassets	export_history_menu_download		no domain vocabulary	Download
NEUTRAL	feature/export/sharedassets	export_history_menu_resend		no domain vocabulary	Resend email
NEUTRAL	feature/export/sharedassets	export_history_menu_save		no domain vocabulary	Save to device
NEUTRAL	feature/export/sharedassets	export_history_more_actions		no domain vocabulary	More actions
NEUTRAL	feature/export/sharedassets	export_history_new		no domain vocabulary	New export
NEUTRAL	feature/export/sharedassets	export_history_remote_expired		no domain vocabulary	Cloud copy expired %1$s
NEUTRAL	feature/export/sharedassets	export_history_remote_expires_on		no domain vocabulary	Cloud copy expires %1$s
NEUTRAL	feature/export/sharedassets	export_history_status_cloud		no domain vocabulary	In the cloud
NEUTRAL	feature/export/sharedassets	export_history_status_device		no domain vocabulary	On device
NEUTRAL	feature/export/sharedassets	export_history_title		no domain vocabulary	Export history
NEUTRAL	feature/export/sharedassets	export_last_12_months		no domain vocabulary	Last 12 months
NEUTRAL	feature/export/sharedassets	export_last_n_months		no domain vocabulary	Last %1$d months
NEUTRAL	feature/export/sharedassets	export_location_downloads_squawkit		no domain vocabulary	Saved to Downloads · SquawkIt
NEUTRAL	feature/export/sharedassets	export_location_files_squawkit		no domain vocabulary	Saved to Files · SquawkIt
NEUTRAL	feature/export/sharedassets	export_primary_action		no domain vocabulary	Start
NEUTRAL	feature/export/sharedassets	export_progress_building_archive		no domain vocabulary	Generating reports...
NEUTRAL	feature/export/sharedassets	export_progress_building_archive_detail		no domain vocabulary	Writing the PDF, CSV, XLSX, and README contents for the ZIP.
NEUTRAL	feature/export/sharedassets	export_progress_compressing_archive		no domain vocabulary	Compressing files...
NEUTRAL	feature/export/sharedassets	export_progress_compressing_archive_detail		no domain vocabulary	Packing documents and attachments into the final ZIP archive.
NEUTRAL	feature/export/sharedassets	export_progress_saving_file		no domain vocabulary	Saving export...
NEUTRAL	feature/export/sharedassets	export_progress_saving_file_detail		no domain vocabulary	Writing the ZIP to your device and updating local export history.
NEUTRAL	feature/export/sharedassets	export_progress_uploading_archive		no domain vocabulary	Syncing to the cloud...
NEUTRAL	feature/export/sharedassets	export_progress_uploading_archive_detail		no domain vocabulary	Uploading your archive so it's ready to download or email later.
NEUTRAL	feature/export/sharedassets	export_receipt_attachments		no domain vocabulary	Attachments
NEUTRAL	feature/export/sharedassets	export_receipt_attachments_included		no domain vocabulary	Included
NEUTRAL	feature/export/sharedassets	export_receipt_file_subtitle		no domain vocabulary	%1$s · ZIP containing %2$s + attachments
NEUTRAL	feature/export/sharedassets	export_receipt_range		no domain vocabulary	Range
NEUTRAL	feature/export/sharedassets	export_resend_email		no domain vocabulary	Email this export again
NEUTRAL	feature/export/sharedassets	export_running_cancel_notice		no domain vocabulary	Leaving this screen now will cancel the export.
NEUTRAL	feature/export/sharedassets	export_running_progress_percent		no domain vocabulary	%1$d% complete
NEUTRAL	feature/export/sharedassets	export_running_stage_counter		no domain vocabulary	%1$d / %2$d
NEUTRAL	feature/export/sharedassets	export_running_steps_title		no domain vocabulary	Current progress
NEUTRAL	feature/export/sharedassets	export_running_title		no domain vocabulary	Preparing export
NEUTRAL	feature/export/sharedassets	export_select_all		no domain vocabulary	Select all
NEUTRAL	feature/export/sharedassets	export_send_to_email_action		no domain vocabulary	Email it to me
NEUTRAL	feature/export/sharedassets	export_stub_preview_file_name		no domain vocabulary	SquawkIt_Logs_preview.zip
NEUTRAL	feature/export/sharedassets	export_stub_preview_location		no domain vocabulary	Saved to this device
NEUTRAL	feature/export/sharedassets	export_success_delivery_auth		no domain vocabulary	Destination: signed-in account email %1$s
NEUTRAL	feature/export/sharedassets	export_success_delivery_failed		no domain vocabulary	Delivery failed. Use Download for now, then try emailing it again.
NEUTRAL	feature/export/sharedassets	export_success_delivery_failed_title		no domain vocabulary	Delivery failed
NEUTRAL	feature/export/sharedassets	export_success_title		no domain vocabulary	Export ready
NEUTRAL	feature/export/sharedassets	export_view_exports		no domain vocabulary	View exports
NEUTRAL	feature/export/sharedassets	feature_name_export_logs		no domain vocabulary	Export Logs
NEUTRAL	feature/fleet/sharedassets	have_invite_code		no domain vocabulary	Have an invite code?
NEUTRAL	feature/login	account_upgrade_error		no domain vocabulary	Couldn't complete sync. Please try again.
NEUTRAL	feature/login	account_upgrade_success		no domain vocabulary	Syncing complete
NEUTRAL	feature/login	account_upgrade_working		no domain vocabulary	Syncing your records…
NEUTRAL	feature/login	apple_logo		no domain vocabulary	Apple Logo
NEUTRAL	feature/login	continue_without_account		no domain vocabulary	Continue Anonymously
NEUTRAL	feature/login	email_entry_hint		no domain vocabulary	you@example.com
NEUTRAL	feature/login	email_entry_title		no domain vocabulary	Log in with email
NEUTRAL	feature/login	email_finish_body		no domain vocabulary	Confirm the email this link was sent to.
NEUTRAL	feature/login	email_finish_title		no domain vocabulary	Finish signing in
NEUTRAL	feature/login	email_invalid		no domain vocabulary	Enter a valid email address.
NEUTRAL	feature/login	email_link_error		no domain vocabulary	That link didn't work. Request a new one.
NEUTRAL	feature/login	email_link_sent_body		no domain vocabulary	We sent a sign-in link to %1$s. Open it on this device to finish logging in.
NEUTRAL	feature/login	email_link_sent_title		no domain vocabulary	Check your inbox
NEUTRAL	feature/login	email_resend		no domain vocabulary	Resend link
NEUTRAL	feature/login	email_resend_in		no domain vocabulary	Resend in %1$s
NEUTRAL	feature/login	email_send_link		no domain vocabulary	Send sign-in link
NEUTRAL	feature/login	email_use_different		no domain vocabulary	Use a different email
NEUTRAL	feature/login	google_logo		no domain vocabulary	Google Logo
NEUTRAL	feature/login	onboarding_ads_consent_body		no domain vocabulary	Ads cover the servers, so SquawkIt stays free. Next, choose how they can use your data.
NEUTRAL	feature/login	onboarding_ads_consent_eyebrow		no domain vocabulary	Keeping the lights on
NEUTRAL	feature/login	onboarding_ads_consent_headline		no domain vocabulary	A few small ads 📣
NEUTRAL	feature/login	onboarding_ads_consent_pro_note		no domain vocabulary	Go ad-free anytime with SquawkIt Pro.
NEUTRAL	feature/login	onboarding_name_body		no domain vocabulary	Just so we know who's logging any maintenance work. You can change it anytime in Settings.
NEUTRAL	feature/login	onboarding_name_eyebrow		no domain vocabulary	QUICK HELLO
NEUTRAL	feature/login	onboarding_name_headline		no domain vocabulary	What should we\ncall you?
NEUTRAL	feature/login	onboarding_name_hint		no domain vocabulary	e.g. Amelia Earhart
NEUTRAL	feature/login	onboarding_name_label		no domain vocabulary	YOUR NAME
NEUTRAL	feature/login	onboarding_notifications_denied_action		no domain vocabulary	Open settings
NEUTRAL	feature/login	onboarding_notifications_denied_eyebrow		no domain vocabulary	Notifications are off
NEUTRAL	feature/login	onboarding_notifications_denied_headline		no domain vocabulary	Turn them back on
NEUTRAL	feature/login	onboarding_notifications_eyebrow		no domain vocabulary	Stay in the loop
NEUTRAL	feature/login	onboarding_notifications_headline		no domain vocabulary	Know when it matters
NEUTRAL	feature/login	onboarding_welcome_aboard		no domain vocabulary	Welcome aboard
NEUTRAL	feature/login	privacy_notice		no domain vocabulary	Privacy Notice
NEUTRAL	feature/login	sign_in_anonymous_error		no domain vocabulary	Could not continue anonymously. Please try again.
NEUTRAL	feature/login	sign_in_error		no domain vocabulary	Sign-in failed. Check your connection and try again.
NEUTRAL	feature/login	sign_in_with_apple		no domain vocabulary	Log in with Apple
NEUTRAL	feature/login	sign_in_with_email		no domain vocabulary	Log in with email
NEUTRAL	feature/login	sign_in_with_google		no domain vocabulary	Log in with Google
NEUTRAL	feature/login	upgrade_confirm_link_body		no domain vocabulary	Your records on this device will be connected to %1$s and backed up. If that isn't your address, cancel and start again.
NEUTRAL	feature/login	upgrade_confirm_link_confirm		no domain vocabulary	Connect
NEUTRAL	feature/login	upgrade_confirm_link_title		no domain vocabulary	Connect this account?
NEUTRAL	feature/login	upgrade_email_body		no domain vocabulary	We'll email you a link. Open it on this device to finish connecting your account.
NEUTRAL	feature/login	upgrade_email_invalid		no domain vocabulary	Enter a valid email address
NEUTRAL	feature/login	upgrade_email_label		no domain vocabulary	Email address
NEUTRAL	feature/login	upgrade_email_send		no domain vocabulary	Send link
NEUTRAL	feature/login	upgrade_email_send_failed		no domain vocabulary	Couldn't send the link. Please try again.
NEUTRAL	feature/login	upgrade_email_title		no domain vocabulary	Continue with email
NEUTRAL	feature/login	upgrade_link_sent_body		no domain vocabulary	We sent a link to %1$s. Open it on this device and we'll ask you to confirm before connecting your records.
NEUTRAL	feature/login	upgrade_link_sent_title		no domain vocabulary	Check your email
NEUTRAL	feature/login	upgrade_merge_confirm		no domain vocabulary	Merge my records
NEUTRAL	feature/login	upgrade_merge_reauth		no domain vocabulary	You'll be asked to confirm with %1$s once more — that second prompt is what signs you in to the existing account.
NEUTRAL	feature/login	upgrade_merge_title		no domain vocabulary	That %1$s already has an account
NEUTRAL	feature/login	upgrade_picker_title		no domain vocabulary	Keep your records
NEUTRAL	feature/login	upgrade_provider_apple		no domain vocabulary	Apple ID
NEUTRAL	feature/login	upgrade_provider_email		no domain vocabulary	email address
NEUTRAL	feature/login	upgrade_provider_google		no domain vocabulary	Google account
NEUTRAL	feature/logs/sharedassets	add_first_maintenance_log		no domain vocabulary	Log First Entry
NEUTRAL	feature/logs/sharedassets	blade		no domain vocabulary	Blade
NEUTRAL	feature/logs/sharedassets	blade_with_index		no domain vocabulary	Blade %1$d
NEUTRAL	feature/logs/sharedassets	engine_time_label		no domain vocabulary	Engine Time
NEUTRAL	feature/logs/sharedassets	engine_with_index		no domain vocabulary	Engine %1$d
NEUTRAL	feature/logs/sharedassets	log_assigned_by		no domain vocabulary	Logged by %1$s
NEUTRAL	feature/logs/sharedassets	log_assigned_by_unknown		no domain vocabulary	Logged by another member
NEUTRAL	feature/logs/sharedassets	maintenance_date		no domain vocabulary	Work Date
NEUTRAL	feature/logs/sharedassets	maintenance_history		no domain vocabulary	Maintenance History
NEUTRAL	feature/logs/sharedassets	this_action_cannot_be_undone		no domain vocabulary	This action cannot be undone.
NEUTRAL	feature/logs/update	date_section_description		no domain vocabulary	When this work was performed
NEUTRAL	feature/logs/update	delete_log		no domain vocabulary	Delete Log?
NEUTRAL	feature/logs/update	engine_time_hours		no domain vocabulary	Engine Time (hours)
NEUTRAL	feature/logs/update	hours_section_description		no domain vocabulary	Fill the fields that apply to this work event
NEUTRAL	feature/logs/update	log_deleted		no domain vocabulary	Log deleted
NEUTRAL	feature/logs/update	log_not_found		no domain vocabulary	Log not found
NEUTRAL	feature/logs/update	log_saved		no domain vocabulary	Log saved
NEUTRAL	feature/logs/update	log_tab_hours		no domain vocabulary	Hours
NEUTRAL	feature/logs/update	log_tab_records		no domain vocabulary	Records
NEUTRAL	feature/logs/update	log_tab_work		no domain vocabulary	Work
NEUTRAL	feature/logs/update	log_updated		no domain vocabulary	Log updated
NEUTRAL	feature/logs/update	make_model_serial		no domain vocabulary	%1$s (%2$s)
NEUTRAL	feature/logs/update	tap_to_change_date		no domain vocabulary	Tap to change date
NEUTRAL	feature/logs/update	type_make_model_serial		no domain vocabulary	%1$s - %2$s (%3$s)
NEUTRAL	feature/logs/update	work_description_required		no domain vocabulary	Work Description *
NEUTRAL	feature/logs/viewing	blade_abbreviation_with_index		no domain vocabulary	B%1$d: %2$s
NEUTRAL	feature/logs/viewing	clear_filter		no domain vocabulary	Clear Filter
NEUTRAL	feature/logs/viewing	collapse_details		no domain vocabulary	Collapse details
NEUTRAL	feature/logs/viewing	engine_time_abbr		no domain vocabulary	Eng
NEUTRAL	feature/logs/viewing	expand_details		no domain vocabulary	Expand details
NEUTRAL	feature/logs/viewing	failed_to_load_logs		no domain vocabulary	Could not load maintenance logs
NEUTRAL	feature/logs/viewing	filter_by_type		no domain vocabulary	Filter by Type
NEUTRAL	feature/logs/viewing	hours_abbr_value		no domain vocabulary	%1$s hrs
NEUTRAL	feature/logs/viewing	log_count_n_entries		no domain vocabulary	%1$d Entries
NEUTRAL	feature/logs/viewing	log_count_one_entry		no domain vocabulary	1 Entry
NEUTRAL	feature/logs/viewing	log_details		no domain vocabulary	Log details
NEUTRAL	feature/logs/viewing	log_task_count_one		no domain vocabulary	1 task
NEUTRAL	feature/logs/viewing	log_task_count_plural		no domain vocabulary	%1$d tasks
NEUTRAL	feature/logs/viewing	maintenance_logs		no domain vocabulary	Maintenance Logs
NEUTRAL	feature/logs/viewing	maintenance_summary		no domain vocabulary	Maintenance Summary
NEUTRAL	feature/logs/viewing	model_and_sn		no domain vocabulary	Model: %1$s %2$s\nS/N: %3$s\n
NEUTRAL	feature/logs/viewing	no_logs_match_filter		no domain vocabulary	No logs match your filter.
NEUTRAL	feature/logs/viewing	no_tasks_linked		no domain vocabulary	No tasks linked to this entry
NEUTRAL	feature/logs/viewing	s_n_empty		no domain vocabulary	No S/N
NEUTRAL	feature/logs/viewing	s_n_placeholder		no domain vocabulary	S/N: %1$s
NEUTRAL	feature/logs/viewing	search_logs		no domain vocabulary	Search logs…
NEUTRAL	feature/logs/viewing	showing_x_of_y		no domain vocabulary	Showing %1$d of %2$d
NEUTRAL	feature/logs/viewing	total_logs		no domain vocabulary	Total Logs
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_diagnostics_at		no domain vocabulary	Last scan: %1$s
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_diagnostics_counts		no domain vocabulary	%1$d records examined · %2$d crossings · %3$d suppressed by preferences · %4$d posted
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_diagnostics_never		no domain vocabulary	No scan has completed on this device
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_diagnostics_title		no domain vocabulary	Scan diagnostics
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_diagnostics_trigger		no domain vocabulary	Trigger: %1$s
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_header		no domain vocabulary	Notifications
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_open_settings_action		no domain vocabulary	Open settings
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_permission_title		no domain vocabulary	OS permission
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_request_action		no domain vocabulary	Request permission
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_reset_watermarks_action		no domain vocabulary	Reset
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_reset_watermarks_done		no domain vocabulary	Cleared. Next scan re-seeds.
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_reset_watermarks_hint		no domain vocabulary	Re-arms every crossing. The next scan re-seeds silently — change a record, then scan again to see a notification.
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_reset_watermarks_no_user		no domain vocabulary	No signed-in user
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_reset_watermarks_title		no domain vocabulary	Reset urgency watermarks
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_never_run		no domain vocabulary	Not run yet
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_now_action		no domain vocabulary	Scan now
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_now_title		no domain vocabulary	Urgency scan
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_completed		no domain vocabulary	Done — %1$d notification(s) posted
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_debounced		no domain vocabulary	Skipped — scanned within the last 2 hours
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_disabled		no domain vocabulary	Skipped — All notifications is off
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_no_permission		no domain vocabulary	Skipped — OS permission not granted
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_no_user		no domain vocabulary	No signed-in user
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_scan_result_prefs_unresolved		no domain vocabulary	Preferences not resolved yet
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_state_denied		no domain vocabulary	Denied — fix in system settings
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_state_granted		no domain vocabulary	Granted
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_state_undetermined		no domain vocabulary	Not yet asked
NEUTRAL	feature/notifications/devoptions	notifications_devoptions_state_unsupported		no domain vocabulary	Unsupported on this browser
NEUTRAL	feature/notifications/settings	notification_settings_all_subtitle_off		no domain vocabulary	Off — every notification below is silenced
NEUTRAL	feature/notifications/settings	notification_settings_all_subtitle_on		no domain vocabulary	On
NEUTRAL	feature/notifications/settings	notification_settings_all_title		no domain vocabulary	All notifications
NEUTRAL	feature/notifications/settings	notification_settings_banner_denied_open_settings		no domain vocabulary	Open settings
NEUTRAL	feature/notifications/settings	notification_settings_banner_denied_title		no domain vocabulary	Notifications are blocked
NEUTRAL	feature/notifications/settings	notification_settings_banner_unsupported_body		no domain vocabulary	This browser doesn’t support notifications. Your choices below are still saved for devices that do.
NEUTRAL	feature/notifications/settings	notification_settings_banner_unsupported_title		no domain vocabulary	Not supported in this browser
NEUTRAL	feature/notifications/settings	notification_settings_collaboration_title		no domain vocabulary	Collaboration
NEUTRAL	feature/notifications/settings	notification_settings_hero_body_off		no domain vocabulary	Turn on All notifications to hear about priority changes, due dates, and updates from your crew.
